LON,LAT,POSTCODE,fibra_disp
-48.0291682,-16.0264086,72507-402,nao
-47.9951039,-16.0102755,72546-603,nao
-47.9841228,-16.0111206,72549-415,nao
-47.9901292,-16.0131954,72547-710,nao
-48.0242463,-16.0413055,72502-602,nao
-48.0230068,-16.0239056,72509-402,nao
-48.028146,-16.0395229,72502-502,nao
-48.025636,-16.0359586,72503-714,nao
-48.0121165,-16.0130468,72511-101,nao
-47.9859466,-16.0151023,72548-812,nao
-48.0166906,-16.0219199,72536-090,nao
-48.0293486,-16.0439996,72501-505,nao
-48.0204656,-16.0255759,72509-506,nao
-47.9891099,-16.0142327,72547-713,nao
-47.9923374,-16.0174316,72546-810,nao
-48.0255426,-16.0393351,72502-618,nao
-47.9943853,-16.0075867,72546-510,nao
-48.0353015,-16.0477468,72500-406,nao
-47.9843318,-16.0134975,72549-435,nao
-48.0089326,-16.0118703,72511-156,nao
-48.0314949,-16.0300388,72505-408,nao
-48.0295963,-16.0361733,72503-608,nao
-48.0409365,-16.0419521,72500-434,nao
-48.0266048,-16.0283461,72507-512,nao
-48.0297548,-16.0437256,72501-507,nao
-47.9874465,-16.0137778,72548-706,nao
-47.9868241,-16.0119546,72548-708,nao
-48.0251922,-16.0252562,72508-409,nao
-47.9866481,-16.0165742,72548-808,nao
-48.0251317,-16.0286573,72507-515,nao
-47.988601,-16.0135612,72547-716,nao
-48.0235087,-16.027292,72508-501,nao
-48.0233602,-16.0219298,72509-405,nao
-48.0246508,-16.0371761,72503-709,nao
-48.0305721,-16.0439287,72501-511,nao
-47.9880312,-16.0020878,72548-412,nao
-48.0293657,-16.0395914,72502-508,nao
-48.0200748,-16.0406138,72550-025,nao
-47.9893197,-16.0167128,72547-810,nao
-48.0174804,-16.0419545,72550-032,nao
-48.0384784,-16.0455784,72500-423,nao
-48.0155114,-16.0205388,72536-120,nao
-47.9956106,-16.0096375,72546-602,nao
-47.9940699,-16.0148791,72546-703,nao
-48.0297432,-16.0258508,72507-221,nao
-48.035887,-16.0458256,72500-410,nao
-48.0248089,-16.0229165,72508-402,nao
-48.0030502,-16.0145023,72542-509,nao
-48.0283809,-16.0439342,72501-501,nao
-48.0287845,-16.0435947,72501-503,nao
-48.0300575,-16.0329948,72504-514,nao
-47.9958096,-16.0036002,72546-406,nao
-48.0207208,-16.0375582,72550-010,nao
-47.9939164,-16.0062787,72546-511,nao
-47.9931721,-16.0087591,72546-616,nao
-47.9878144,-16.0136191,72548-705,nao
-48.0284043,-16.0286874,72507-500,nao
-47.9860485,-16.0136503,72548-713,nao
-48.0364054,-16.0449682,72500-412,nao
-48.0245498,-16.0392662,72502-620,nao
-48.0196475,-16.0205039,72510-411,nao
-48.0301993,-16.030172,72505-411,nao
-47.9990154,-16.0115704,72545-501,nao
-48.0308994,-16.0335403,72504-412,nao
-48.0237409,-16.0238288,72508-408,nao
-47.9877859,-16.0175952,72547-807,nao
-48.0310473,-16.0318586,72505-405,nao
-47.9964159,-16.0063841,72546-501,nao
-48.0148226,-16.017657,72535-170,nao
-47.9881823,-16.0163357,72547-815,nao
-48.0255165,-16.03895,72502-619,nao
-48.0195615,-16.0222312,72510-502,nao
-47.98543,-16.0097822,72549-360,nao
-48.0324618,-16.0417497,72501-404,nao
-47.9895187,-16.0119659,72547-707,nao
-48.0185226,-16.0410758,72550-028,nao
-48.0327174,-16.0324687,72504-407,nao
-47.9908385,-16.0003698,72548-402,nao
-48.025674,-16.0239733,72508-403,nao
-48.0061359,-16.0120831,72542-407,nao
-47.9936757,-16.001556,72547-408,nao
-48.0115518,-16.0137863,72511-154,nao
-48.0196753,-16.0333049,72550-056,nao
-47.9888121,-16.0173514,72547-808,nao
-48.0299191,-16.0266303,72506-407,nao
-48.035237,-16.0363459,72503-414,nao
-48.0372687,-16.0383208,72503-410,nao
-48.0209926,-16.0250796,72509-508,nao
-48.034493,-16.0357174,72503-206,nao
-48.0277144,-16.0302962,72507-501,nao
-47.9963038,-16.0030455,72546-405,nao
-48.0199291,-16.0361525,72550-070,nao
-48.0292761,-16.032274,72504-516,nao
-47.9891299,-16.017181,72547-809,nao
-48.0182248,-16.0242051,72510-503,nao
-48.0223569,-16.0260627,72508-504,nao
-48.0188458,-16.0242531,72510-501,nao
-48.0095181,-16.0112911,72511-103,nao
-48.0285562,-16.0331179,72504-512,nao
-48.0186994,-16.0418676,72550-031,nao
-48.0114288,-16.0192667,72537-520,nao
-48.0311353,-16.0386001,72502-412,nao
-47.9919788,-16.0034199,72547-412,nao
-48.0301599,-16.0377879,72503-609,nao
-47.9848567,-16.011849,72549-420,nao
-48.0330364,-16.0445861,72501-401,nao
-48.0241968,-16.0397317,72502-615,nao
-48.0201121,-16.0207575,72510-409,nao
-48.026649,-16.0257929,72507-411,nao
-48.0236637,-16.0268784,72508-503,nao
-48.033185,-16.0350468,72504-401,nao
-48.0337604,-16.0427541,72501-222,nao
-48.0238009,-16.0391758,72502-622,nao
-48.0289459,-16.0339866,72504-505,nao
-48.0261265,-16.0401179,72502-610,nao
-48.0310368,-16.0351565,72504-406,nao
-48.0206638,-16.0205567,72510-405,nao
-48.0188361,-16.0395614,72550-021,nao
-48.0190402,-16.0250682,72509-513,nao
-47.9921407,-16.0007593,72547-423,nao
-48.0213787,-16.0258208,72509-503,nao
-48.0295228,-16.0409374,72502-507,nao
-48.0381037,-16.0453083,72500-422,nao
-48.0258527,-16.0293329,72507-507,nao
-48.0064192,-16.0090926,72542-203,nao
-48.0224746,-16.0266139,72508-502,nao
-48.0354175,-16.0418471,72501-103,nao
-48.0296405,-16.034354,72504-506,nao
-47.9889244,-16.0138535,72547-712,nao
-48.0204154,-16.0212559,72510-407,nao
-48.0082334,-16.0111336,72511-153,nao
-48.0143018,-16.0213124,72536-060,nao
-48.0309039,-16.0364859,72503-512,nao
-48.0264311,-16.0403212,72502-609,nao
-47.9973097,-16.0105647,72545-508,nao
-48.0393648,-16.0436803,72500-430,nao
-47.9884447,-16.0148165,72548-750,nao
-47.9880253,-16.0009372,72548-419,nao
-48.0056673,-16.0116573,72542-409,nao
-47.9932315,-16.0179639,72546-807,nao
-47.9889037,-16.0003653,72548-416,nao
-47.9929354,-16.0151935,72546-710,nao
-48.0303509,-16.0284319,72506-403,nao
-48.0072847,-16.0124855,72511-158,nao
-47.9908889,-16.0035099,72547-415,nao
-47.9872084,-16.0175528,72548-801,nao
-47.9983709,-16.0087615,72545-402,nao
-47.9947716,-16.0015548,72546-415,nao
-48.0069326,-16.0106943,72542-403,nao
-48.0290387,-16.0460404,72500-124,nao
-48.0245779,-16.0232459,72508-404,nao
-48.0377106,-16.0374338,72503-411,nao
-48.0303843,-16.0451857,72500-123,nao
-48.0335858,-16.0403515,72502-222,nao
-47.9930403,-16.0130041,72546-704,nao
-47.9929784,-16.0126303,72546-711,nao
-48.0288474,-16.0274669,72506-410,nao
-48.0351647,-16.0354608,72503-416,nao
-48.0369145,-16.0374358,72503-409,nao
-47.9864973,-16.0126302,72548-710,nao
-48.0321241,-16.0417493,72501-406,nao
-47.9921002,-15.9998798,72547-100,nao
-47.9926716,-16.0185957,72546-803,nao
-47.988632,-16.001695,72548-413,nao
-48.0214724,-16.0215361,72509-413,nao
-48.0309962,-16.0445907,72501-411,nao
-48.0192007,-16.0415509,72550-029,nao
-48.0322443,-16.0387135,72502-406,nao
-48.0329832,-16.041936,72501-402,nao
-48.014965,-16.0209124,72536-100,nao
-47.9873457,-16.015231,72548-805,nao
-48.0287075,-16.0397254,72502-504,nao
-47.9918745,-16.0191182,72546-801,nao
-48.0221268,-16.0364371,72550-005,nao
-48.0297522,-16.0373786,72503-607,nao
-48.0323822,-16.0369989,72503-503,nao
-48.0301592,-16.0364449,72503-610,nao
-48.019,-16.0194766,72510-417,nao
-47.986738,-16.0132771,72548-712,nao
-48.0018598,-16.0092457,72544-402,nao
-48.0221434,-16.0345749,72550-003,nao
-47.9884055,-16.0128113,72548-701,nao
-48.0195898,-16.0352492,72550-069,nao
-47.9930888,-16.0189065,72546-802,nao
-48.0063914,-16.0103398,72542-410,nao
-48.028774,-16.0312874,72504-522,nao
-47.9856122,-16.0133177,72548-716,nao
-48.034932,-16.036799,72503-412,nao
-47.990173,-16.0021057,72548-404,nao
-48.0357261,-16.0370709,72503-405,nao
-48.003914,-16.013673,72542-506,nao
-48.0210433,-16.0214003,72510-401,nao
-48.0228887,-16.0289822,72508-242,nao
-48.0217075,-16.0250777,72509-504,nao
-48.0332127,-16.0410761,72502-401,nao
-48.0275767,-16.0292648,72507-505,nao
-47.9873205,-16.010931,72548-245,nao
-47.9910756,-16.0131234,72547-704,nao
-48.0253624,-16.0248949,72508-407,nao
-47.9963769,-16.010557,72545-514,nao
-48.018856,-16.0233104,72510-506,nao
-48.0169168,-16.0228446,72510-512,nao
-48.0046904,-16.0108773,72542-418,nao
-48.02138,-16.0202208,72510-403,nao
-48.0197955,-16.0340526,72550-058,nao
-48.0170517,-16.0219695,72510-517,nao
-47.9920895,-16.0140885,72546-715,nao
-48.0374745,-16.0452407,72500-419,nao
-48.0314636,-16.0318333,72505-404,nao
-48.0370945,-16.0325463,72504-102,nao
-47.9849581,-16.0158611,72548-815,nao
-48.0305667,-16.0418558,72501-512,nao
-47.9877354,-16.0156736,72548-803,nao
-48.0321752,-16.0437323,72501-405,nao
-48.0214388,-16.0341464,72550-051,nao
-47.988179,-16.0017225,72548-414,nao
-48.0182473,-16.0215613,72510-518,nao
-48.0281271,-16.0283307,72507-513,nao
-48.0147303,-16.0190189,72535-210,nao
-48.0119155,-16.0166517,72537-540,nao
-47.9968339,-16.0106142,72545-512,nao
-48.0292363,-16.0383065,72503-605,nao
-47.9981261,-16.0067854,72545-403,nao
-48.026526,-16.0279259,72507-518,nao
-48.0210542,-16.0325358,72550-048,nao
-47.9830971,-16.0137504,72549-450,nao
-48.0286054,-16.0270435,72507-404,nao
-47.9959585,-16.0040436,72546-401,nao
-47.9900975,-16.0175961,72547-804,nao
-48.0327822,-16.0344335,72504-402,nao
-48.0372856,-16.0465517,72500-413,nao
-47.9913171,-16.0029258,72547-417,nao
-48.0219382,-16.0225528,72509-409,nao
-47.9936367,-16.0177423,72546-805,nao
-47.9870553,-16.0160751,72548-810,nao
-48.0153268,-16.0219051,72536-050,nao
-48.0031395,-16.0130888,72542-512,nao
-48.0344513,-16.0465435,72500-402,nao
-48.0325806,-16.0437998,72501-403,nao
-48.0388528,-16.042185,72500-435,nao
-48.0316064,-16.0373809,72503-507,nao
-48.0330564,-16.0392576,72502-402,nao
-48.0153246,-16.0225871,72536-030,nao
-48.0361971,-16.0440732,72501-101,nao
-47.9862938,-16.0118354,72548-714,nao
-48.0306535,-16.0318811,72505-406,nao
-48.0202208,-16.035301,72550-059,nao
-48.029931,-16.0395221,72502-510,nao
-48.0142793,-16.0174058,72535-190,nao
-48.0237287,-16.040577,72502-608,nao
-48.020751,-16.0192375,72510-224,nao
-47.9925555,-16.0165988,72546-812,nao
-48.016828,-16.0179991,72535-070,nao
-47.9923039,-16.0016643,72547-414,nao
-48.0197073,-16.0376314,72550-081,nao
-47.9977298,-16.0132436,72545-242,nao
-48.0200296,-16.0239734,72509-512,nao
-47.9915308,-16.0030607,72547-416,nao
-48.0143538,-16.0222665,72536-020,nao
-48.0316886,-16.0333498,72504-410,nao
-48.0290955,-16.0257423,72507-401,nao
-48.0053485,-16.0096554,72542-417,nao
-48.0291887,-16.042317,72501-506,nao
-48.0305444,-16.0297168,72505-410,nao
-48.0049671,-16.0117255,72542-415,nao
-48.0228098,-16.0341515,72550-002,nao
-48.019981,-16.0215534,72510-408,nao
-48.0326164,-16.0385936,72502-404,nao
-48.0376611,-16.0458258,72500-417,nao
-48.0303336,-16.0326075,72504-517,nao
-48.0316557,-16.0430475,72501-408,nao
-48.032242,-16.0410036,72502-405,nao
-47.9969197,-16.0030695,72546-403,nao
-48.0404959,-16.0420218,72500-436,nao
-47.9871877,-16.0116814,72548-707,nao
-48.0239012,-16.0350336,72504-122,nao
-47.9966345,-16.0032938,72546-404,nao
-48.003391,-16.0140172,72542-510,nao
-48.0204097,-16.0358223,72550-061,nao
-48.0366086,-16.0358913,72503-418,nao
-47.9902552,-16.0000548,72548-409,nao
-48.0247936,-16.0382923,72503-702,nao
-47.9835497,-16.0116004,72549-425,nao
-48.0181677,-16.0226008,72510-511,nao
-48.0269376,-16.0395844,72502-243,nao
-47.9903735,-16.0165643,72547-805,nao
-48.0351168,-16.0472576,72500-405,nao
-48.0250047,-16.0354414,72503-718,nao
-48.109395,-15.8311176,72220-221,nao
-48.0312097,-16.0420657,72501-410,nao
-48.0242448,-16.0387474,72502-624,nao
-47.9949521,-16.009832,72546-608,nao
-47.9891185,-16.0163022,72547-811,nao
-47.9976532,-16.009772,72545-510,nao
-47.9876505,-16.0116107,72548-703,nao
-48.0200571,-16.0384947,72550-082,nao
-48.0172968,-16.0241918,72510-237,nao
-48.0250848,-16.0261359,72508-511,nao
-48.0199225,-16.04043,72550-023,nao
-48.0355127,-16.0454652,72500-411,nao
-48.0275814,-16.0380951,72503-231,nao
-48.0009595,-16.0068666,72544-220,nao
-48.0365642,-16.0462564,72500-409,nao
-47.9872109,-16.0123974,72548-709,nao
-48.0060033,-16.0119395,72542-408,nao
-47.9928308,-16.014186,72546-709,nao
-48.01536,-16.0229245,72536-010,nao
-47.9889733,-16.0010222,72548-411,nao
-48.0366603,-16.0431703,72501-105,nao
-47.9938595,-16.0147494,72546-706,nao
-48.0203786,-16.0207778,72510-406,nao
-47.9887979,-16.0125837,72547-715,nao
-48.0287075,-16.0407337,72502-503,nao
-48.0055488,-16.0144579,72542-243,nao
-48.0243174,-16.0237369,72508-406,nao
-48.0376386,-16.0362088,72503-422,nao
-48.0283768,-16.0371766,72503-601,nao
-48.0335721,-16.045983,72500-107,nao
-47.9905763,-16.0023439,72548-401,nao
-48.0325119,-16.0332897,72504-408,nao
-48.0235537,-16.0244752,72508-412,nao
-48.0052153,-16.0130607,72542-501,nao
-47.9882625,-16.0009342,72548-415,nao
-48.0026422,-16.0088291,72543-408,nao
-48.02608,-16.036877,72503-708,nao
-48.021899,-16.0242373,72509-502,nao
-48.0317714,-16.0437365,72501-407,nao
-48.0382462,-16.0462555,72500-415,nao
-48.0297412,-16.0349648,72504-502,nao
-47.9882292,-16.0150512,72548-755,nao
-47.9930483,-16.0181613,72546-804,nao
-48.0121549,-16.0139945,72511-104,nao
-48.028382,-16.0281415,72506-412,nao
-47.9915502,-16.0019076,72547-420,nao
-47.9901788,-16.0013708,72548-406,nao
-47.9937499,-16.0070753,72546-512,nao
-47.9945434,-16.0056381,72546-505,nao
-47.9923952,-16.0125819,72546-714,nao
-47.9943273,-16.0130234,72546-701,nao
-48.0227163,-16.020593,72509-225,nao
-47.9902977,-16.0144595,72547-706,nao
-48.0304597,-16.0264843,72506-223,nao
-48.0249475,-16.0283552,72507-516,nao
-48.0265371,-16.0240582,72508-401,nao
-47.9868175,-16.0129208,72548-711,nao
-48.0348444,-16.0341232,72504-205,nao
-48.0356799,-16.0354603,72503-417,nao
-48.0325967,-16.0298148,72505-223,nao
-48.0337065,-16.0341998,72504-222,nao
-47.9942469,-16.002243,72546-413,nao
-48.0236264,-16.022626,72509-403,nao
-47.9941675,-16.0029853,72546-412,nao
-47.9987645,-16.0078519,72545-401,nao
-48.0305656,-16.0361025,72503-612,nao
-48.0206612,-16.0335955,72550-054,nao
-48.0229463,-16.0372348,72550-008,nao
-48.0308995,-16.0278796,72506-401,nao
-48.0184746,-16.0397025,72550-022,nao
-48.0209753,-16.0222427,72509-414,nao
-48.0326502,-16.0406669,72502-403,nao
-48.0040084,-16.0075685,72543-204,nao
-47.9851709,-16.0089738,72549-365,nao
-47.9907311,-16.003116,72547-418,nao
-47.9978126,-16.0070506,72545-404,nao
-48.0298001,-16.0340393,72504-507,nao
-47.9948296,-16.0032497,72546-411,nao
-47.9892186,-16.0123928,72547-714,nao
-47.9863581,-16.0144496,72548-760,nao
-48.0153272,-16.016331,72535-110,nao
-48.031388,-16.0354506,72503-510,nao
-48.0179065,-16.0176701,72535-040,nao
-47.9896012,-16.0028985,72548-208,nao
-48.0036993,-16.0126918,72542-514,nao
-48.034881,-16.0467178,72500-401,nao
-47.9944851,-16.0063688,72546-507,nao
-47.9989929,-16.0103351,72545-504,nao
-48.0274919,-16.0395528,72502-233,nao
-48.0241873,-16.036322,72503-716,nao
-47.9873082,-16.0168358,72548-804,nao
-48.0253552,-16.0405806,72502-605,nao
-48.0257434,-16.0258689,72508-411,nao
-48.0247447,-16.0365877,72503-710,nao
-48.0284731,-16.0348699,72504-503,nao
-48.01385,-16.0212058,72536-510,nao
-47.989184,-16.0034373,72548-209,nao
-48.0237194,-16.0419489,72501-120,nao
-48.0397381,-16.0436809,72500-431,nao
-47.9925403,-16.0033893,72547-411,nao
-48.0218786,-16.0350551,72550-004,nao
-48.0201693,-16.0332563,72550-055,nao
-48.0160166,-16.0197691,72536-165,nao
-48.0246591,-16.0397336,72502-614,nao
-48.032034,-16.030268,72505-407,nao
-48.0140085,-16.0169168,72535-180,nao
-48.0310225,-16.040605,72502-411,nao
-48.0350018,-16.0377295,72503-402,nao
-47.9893719,-16.0159829,72547-812,nao
-47.998696,-16.0109768,72545-503,nao
-48.0177652,-16.0225257,72510-514,nao
-48.0279166,-16.0455985,72500-127,nao
-48.0315597,-16.0345005,72504-405,nao
-47.9884943,-16.0166703,72547-814,nao
-48.0237767,-16.0230473,72509-401,nao
-48.0227794,-16.0222673,72509-408,nao
-47.9898289,-16.0158404,72547-806,nao
-48.0287526,-16.0277304,72506-411,nao
-47.9901682,-16.0006113,72548-408,nao
-48.0234947,-16.0212655,72509-222,nao
-47.9932506,-16.015024,72546-707,nao
-47.9890113,-15.9998826,72548-418,nao
-48.0276624,-16.0229837,72508-201,nao
-47.9930145,-16.0120811,72546-246,nao
-48.027044,-16.0251052,72507-409,nao
-48.0202089,-16.0243975,72509-510,nao
-48.0299885,-16.0294664,72506-405,nao
-48.0355595,-16.0346715,72504-101,nao
-48.0308224,-16.0288039,72506-402,nao
-48.0344367,-16.0336983,72504-207,nao
-47.9856232,-16.0152729,72548-813,nao
-48.0230108,-16.0252504,72508-510,nao
-48.0329577,-16.0477746,72500-103,nao
-48.0370462,-16.0411558,72502-102,nao
-48.034548,-16.0363771,72503-205,nao
-48.029931,-16.0409362,72502-509,nao
-48.0297634,-16.0326707,72504-515,nao
-47.9937326,-16.0060114,72546-513,nao
-47.9942992,-16.0068382,72546-508,nao
-48.0260429,-16.0277092,72507-517,nao
-48.0335748,-16.0468408,72500-106,nao
-48.0177258,-16.0196123,72535-020,nao
-47.9917409,-16.0169719,72546-811,nao
-48.0388516,-16.0434112,72500-428,nao
-48.0179171,-16.0247713,72510-234,nao
-48.0787746,-16.0181842,72420-294,nao
-48.026081,-16.0376357,72503-703,nao
-48.0141579,-16.0218218,72536-040,nao
-48.0291899,-16.0361006,72503-606,nao
-47.9941592,-16.0052266,72546-227,nao
-48.0143655,-16.0156994,72535-140,nao
-48.0329864,-16.036238,72503-502,nao
-48.021607,-16.0223919,72509-410,nao
-48.0321161,-16.0309456,72505-402,nao
-48.0285367,-16.0422456,72501-502,nao
-48.0954734,-15.834862,72215-554,nao
-47.992195,-16.0181372,72546-808,nao
-47.9884172,-16.000185,72548-417,nao
-47.9859244,-16.0076154,72549-315,nao
-48.0170465,-16.0201293,72536-180,nao
-47.994393,-16.008071,72546-304,nao
